| campo        | valor                                                          |
| ------------ | -------------------------------------------------------------- |
| Nombre       | La Delicia                                                     |
| Propietario  | Antonio Rossi                                                  |
| Dirección    | Av. Italia 1234, San Carlos de Bariloche, Río Negro, Argentina |
| Horarios     | Lunes a Domingo: 11–16 hs / 19–24 hs.                          |
| Teléfono     | +54 294 412-3456                                               |
| Email        | [reservas@ladelicia.com.ar](mailto:reservas@ladelicia.com.ar)  |
| Especialidad | Cocina italiana e internacional                                |
| Ambiente     | Familiar y acogedor                                            |
| Capacidad    | 60 cubiertos                                                   |
| Pagos        | Efectivo, tarjeta y reservas online                            |
